Table Name,Field Name,Field Type,Description,Example,Include,Tags,Transformation,Target Deployment,Flag,Table Reference,Field Reference,Is Primary?,Unique,Risk Status,Risk Type,Transformation1,Change Notes
DIM_DATE,ROW_ITERATION_NUMBER,INTEGER 4,Reference to the ETL Iteration Table that provides information on row creation,(N/A),Ignore,,,Never,,,,,,,,,
DIM_DATE,ROW_LOADED_DTM,TIMESTAMP 10,Date and time the ETL job loaded this record,2017-07-05-15.39.00,Ignore,,,Never,,,,,,,,,
DIM_DATE,ROW_SOURCE_ID,BIGINT 8,A unique identifier of the source system for this record,(Key value),Ignore,,,Never,,,,,,,,,
DIM_DATE,ROW_TO_DTM,TIMESTAMP 10,Date and time EDT record last became active or valid,2017-07-05-15.39.00,Ignore,,,Never,,,,,,,,,
DIM_DATE,WEEK_BEGIN_DT,DATE 4,"Starting date for the week, based on Sunday",7/2/2017,No,,,Never,,,,,,,,,
DIM_DATE,WEEK_BEGIN_DT_ISO,DATE 4,"ISO-defined starting date for the week, based on Monday",7/3/2017,No,,,Never,,,,,,,,,
DIM_DATE,WEEK_IN_YEAR_ISO_NAME,VARCHAR 255,"ISO-defined week number within a 52-week calendar year, preceded by the word Week",Week 52,No,,,Never,,,,,,,,,
DIM_DATE,WEEK_IN_YEAR_ISO_NUMBER,INTEGER 4,ISO-defined week number within a 52-week calendar year,52,No,,,Never,,,,,,,,,
DIM_DATE,WEEK_IN_YEAR_NUMBER,INTEGER 4,Week number within a 52-week calendar year,53,No,,,Never,,,,,,,,,
DIM_DATE,YEAR_NAME,VARCHAR 255,4-digit year preceeded by the letter Y,Y2016,No,,,Never,,,,,,,,,
DIM_DATE,YEAR_NUMBER,INTEGER 4,4-digit year,2016,No,,,Never,,,,,,,,,
DIM_DEPARTMENT_SPECIALTY,DEID_DTM,TIMESTAMP 10,Date and time the DEID software processed the first record in the file,2021-09-04 21:36:51,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_DEPARTMENT_SPECIALTY,DEID_VERSION,VARCHAR 30,DEID Software version which process this file,v1.8.3,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_DEPARTMENT_SPECIALTY,DEPARTMENT_SPECIALTY_CODE,VARCHAR 50,The code for the department specialty,,No,,,Q1 2020,,,,,,,,,
DIM_DEPARTMENT_SPECIALTY,DEPARTMENT_SPECIALTY_DESCRIPTION,VARCHAR 255,The description of the department specialty,,Yes,,INCLUSIONLIST,Q1 2020,,,,,,Moderate,Semantics,Inclusion list,
DIM_DEPARTMENT_SPECIALTY,DEPARTMENT_SPECIALTY_DK,BIGINT 8,Unique identifier,,Yes,,,Q1 2020,,DIM_DEPARTMENT_SPECIALTY,,PRIMARY,Yes,Low,-,No change,
DIM_DEPARTMENT_SPECIALTY,EXTRACT_DTM,TIMESTAMP 10,Date and time the table was extracted from the source in the data files,2021-07-26 21:36:51,Yes,,,Q2-Q4 2021,,,,,,,,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_DEPARTMENT_SPECIALTY,EXTRACT_SOURCE,VARCHAR 30,Source of the table from where the data was extract,UDP:EDT4P:EDTWH,Yes,,,Q2-Q4 2021,,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_DEPARTMENT_SPECIALTY,ROW_CURRENT_INDICATOR,CHARACTER 1,A Y/N flag indicating whether the row in an EDT table is the most current version of the information for the related business entity instance,,Ignore,,,Q1 2020,,,,,,,,,
DIM_DEPARTMENT_SPECIALTY,ROW_FROM_DTM,TIMESTAMP 10,Date and time the EDT record first became active or valid,,Ignore,,,Q1 2020,,,,,,,,,
DIM_DEPARTMENT_SPECIALTY,ROW_ITERATION_NUMBER,INTEGER 4,Reference to the ETL Iteration Table that provides information on row creation,,Ignore,,,Q1 2020,,,,,,,,,
DIM_DEPARTMENT_SPECIALTY,ROW_LOADED_DTM,TIMESTAMP 10,Date and time the ETL job loaded this record,,Ignore,,,Q1 2020,,,,,,,,,
DIM_DEPARTMENT_SPECIALTY,ROW_SOURCE_ID,BIGINT 8,A unique identifier of the source system for this record,,Yes,,,Q1 2021,,,,,,Moderate,Geography,No change,
DIM_DEPARTMENT_SPECIALTY,ROW_TO_DTM,TIMESTAMP 10,Date and time EDT record last became active or valid,,Ignore,,,Q1 2020,,,,,,,,,
DIM_DEPARTMENT_SPECIALTY,SOURCE_SYSTEM_KEY,VARCHAR 50,Proprietary key values to original source application,,No,,,Q1 2020,,,,,,,,,
DIM_DEPARTMENT_SPECIALTY,STANDARD_DEPARTMENT_SPECIALTY_CODE,VARCHAR 50,The code for the department specialty,,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_DEPARTMENT_SPECIALTY,STANDARD_DEPARTMENT_SPECIALTY_DESCRIPTION,VARCHAR 255,The description of the department specialty,,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_DEPARTMENT_SPECIALTY,STANDARD_SOURCE_SYSTEM_KEY,VARCHAR 50,Proprietary key values to original source application,,No,,,Q1 2020,,,,,,,,,
DIM_DIAGNOSIS_CODE,DEID_DTM,TIMESTAMP 10,Date and time the DEID software processed the first record in the file,2021-09-04 21:36:51,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_DIAGNOSIS_CODE,DEID_VERSION,VARCHAR 30,DEID Software version which process this file,v1.8.3,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_DIAGNOSIS_CODE,DIAGNOSIS_BILLABLE,VARCHAR 15,Indicates whether it is a billable diagnosis,N/A,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_DIAGNOSIS_CODE,DIAGNOSIS_CODE,VARCHAR 400,"Diagnosis code from one of commonly used diagnostic coding systems, like  SNOMED, ICD-9, ICD-10. An example would be, ""E11.8"" for ""Type 2, Diabetes"" in the ICD-10 coding system.",ICD-10,Yes,,DIAGNOSIS,Q1 2020,,,,,,Moderate,Public Events,Inclusion list,
DIM_DIAGNOSIS_CODE,DIAGNOSIS_CODE_DK,BIGINT 8,Unique identifier used as a primary key which contains a value that identifies a specific row within the DIM_DIAGNOSIS_CODE table. This value is also used in the FACT_DIAGNOSIS table to establish this relationship,(Key value),Yes,,,Q1 2020,,DIM_DIAGNOSIS_CODE,,PRIMARY,Yes,Moderate,Public Events,No change,
DIM_DIAGNOSIS_CODE,DIAGNOSIS_DESCRIPTION,VARCHAR 300,"Extended description of ailment. This would typically be the description used in one of the coding systems for a diseases. As an example, ""Type 2 diabetes mellitus with unspecified complications"" from the ICD-10 coding system.","POISONING, FOOD, NOS",Yes,,DIAGNOSIS,Q1 2020,,,,,,Moderate,Semantics,Inclusion list,
DIM_DIAGNOSIS_CODE,DIAGNOSIS_METHOD_CODE,VARCHAR 400,"Commonly used name of the diagnostic coding system - ""SNOMED"", ""ICD-9"", ""ICD-10"" etc.",ICD-10,Yes,,DIAGNOSIS,Q1 2020,,,,,,Moderate,Semantics,Inclusion list,
DIM_DIAGNOSIS_CODE,DIAGNOSIS_METHOD_DESCRIPTION,"VARCHAR 4,000",Verbose text explaining which method was used to code the diagnosis,,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_DIAGNOSIS_CODE,DIAGNOSIS_METHOD_NAME,VARCHAR 100,The name of the diagnosis method,HIC,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_DIAGNOSIS_CODE,DIAGNOSIS_NAME,VARCHAR 300,Abbreviated description of ailment,LOCAL SALMONELLA INF NEC,No,,,Q1 2020,,,,,,,,,
DIM_DIAGNOSIS_CODE,EXTRACT_DTM,TIMESTAMP 10,Date and time the table was extracted from the source in the data files,2021-07-26 21:36:51,Yes,,,Q2-Q4 2021,,,,,,,,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_DIAGNOSIS_CODE,EXTRACT_SOURCE,VARCHAR 30,Source of the table from where the data was extract,UDP:EDT4P:EDTWH,Yes,,,Q2-Q4 2021,,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_DIAGNOSIS_CODE,ROW_CURRENT_INDICATOR,CHARACTER 1,A Y/N flag indicating whether the row in an EDT table is the most current version of the information for the related business entity instance,Y,Ignore,,,Q1 2020,,,,,,,,,
DIM_DIAGNOSIS_CODE,ROW_FROM_DTM,TIMESTAMP 10,Date and time the EDT record first became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_DIAGNOSIS_CODE,ROW_ITERATION_NUMBER,INTEGER 4,Reference to the ETL Iteration Table that provides information on row creation,(N/A),Ignore,,,Q1 2020,,,,,,,,,
DIM_DIAGNOSIS_CODE,ROW_LOADED_DTM,TIMESTAMP 10,Date and time the ETL job loaded this record,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_DIAGNOSIS_CODE,ROW_SOURCE_ID,BIGINT 8,A unique identifier of the source system for this record,(Key value),Yes,,,Q1 2021,,,,,,Low,-,No change,
DIM_DIAGNOSIS_CODE,ROW_TO_DTM,TIMESTAMP 10,Date and time EDT record last became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_DIAGNOSIS_CODE,SOURCE_SYSTEM_KEY,VARCHAR 50,Proprietary key values to original source application,(Key value),No,,,Q1 2020,,,,,,,,,
DIM_DISCHARGE_DISPOSITION,DEID_DTM,TIMESTAMP 10,Date and time the DEID software processed the first record in the file,2021-09-04 21:36:51,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_DISCHARGE_DISPOSITION,DEID_VERSION,VARCHAR 30,DEID Software version which process this file,v1.8.3,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_DISCHARGE_DISPOSITION,DISCHARGE_DISPOSITION_CODE,VARCHAR 50,The code identifying the discharge disposition of the ADT event,10512457,No,,,Q1 2020,,,,,,,,,
DIM_DISCHARGE_DISPOSITION,DISCHARGE_DISPOSITION_DESCRIPTION,VARCHAR 255,The description of the discharge disposition,Rehab,Yes,,INCLUSIONLIST,Q1 2020,,,,,,Moderate,Semantics,Inclusion list,
DIM_DISCHARGE_DISPOSITION,DISCHARGE_DISPOSITION_DK,BIGINT 8,Unique identifier used as a primary key which contains a value that identifies a specific row within the DIM_DISCHARGE_DISPOSITION table. This value is also used in the FACT_ADMIT_DISCHARGE_TRANSFER_LOCATION table to establish,(Key value),Yes,,,Q1 2020,,DIM_DISCHARGE_DISPOSITION,,PRIMARY,Yes,Low,-,No change,
DIM_DISCHARGE_DISPOSITION,EXTRACT_DTM,TIMESTAMP 10,Date and time the table was extracted from the source in the data files,2021-07-26 21:36:51,Yes,,,Q2-Q4 2021,,,,,,,,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_DISCHARGE_DISPOSITION,EXTRACT_SOURCE,VARCHAR 30,Source of the table from where the data was extract,UDP:EDT4P:EDTWH,Yes,,,Q2-Q4 2021,,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_DISCHARGE_DISPOSITION,ROW_CURRENT_INDICATOR,CHARACTER 1,A Y/N flag indicating whether the row in an EDT table is the most current version of the information for the related business entity instance,Y,Ignore,,,Q1 2020,,,,,,,,,
DIM_DISCHARGE_DISPOSITION,ROW_FROM_DTM,TIMESTAMP 10,Date and time the EDT record first became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_DISCHARGE_DISPOSITION,ROW_ITERATION_NUMBER,INTEGER 4,Reference to the ETL Iteration Table that provides information on row creation,(N/A),Ignore,,,Q1 2020,,,,,,,,,
DIM_DISCHARGE_DISPOSITION,ROW_LOADED_DTM,TIMESTAMP 10,Date and time the ETL job loaded this record,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_DISCHARGE_DISPOSITION,ROW_SOURCE_ID,BIGINT 8,A unique identifier of the source system for this record,(Key value),Yes,,,Q1 2021,,,,,,Moderate,Semantics,No change,
DIM_DISCHARGE_DISPOSITION,ROW_TO_DTM,TIMESTAMP 10,Date and time EDT record last became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_DISCHARGE_DISPOSITION,SOURCE_SYSTEM_KEY,VARCHAR 50,Proprietary key values to original source application,(Key value),No,,,Q1 2020,,,,,,,,,
DIM_DISCHARGE_DISPOSITION,STANDARD_DISCHARGE_DISPOSITION_CODE,VARCHAR 50,The code identifying the Mayo standard discharge disposition of the ADT event,(No data),Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_DISCHARGE_DISPOSITION,STANDARD_DISCHARGE_DISPOSITION_DESCRIPTION,VARCHAR 255,The description of the Mayo standard discharge disposition,(No data),No,,,Q1 2020,,,,,,,,,
DIM_DISCHARGE_DISPOSITION,STANDARD_DISCHARGE_DISPOSITION_DK,BIGINT 8,Unique identifier used as a primary key which contains a value that identifies a specific row within the DIM_DISCHARGE_DISPOSITION table. This value is also used in the FACT_ADMIT_DISCHARGE_TRANSFER_LOCATION table to establish,(Key value),Yes,,,Q1 2020,,,,,,Moderate,Semantics,No change,
DIM_ECG_INTERPRET_CODES,DEID_DTM,TIMESTAMP 10,Date and time the DEID software processed the first record in the file,2021-09-04 21:36:51,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ECG_INTERPRET_CODES,DEID_VERSION,VARCHAR 30,DEID Software version which process this file,v1.8.3,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ECG_INTERPRET_CODES,ECG_CODE_ABBREVIATION,VARCHAR 15,Short code or acronym for test name,STDIG,Yes,,,Q1 2020,,,,,,Moderate,Semantics,No change,
DIM_ECG_INTERPRET_CODES,ECG_CODE_DK,BIGINT 8,Unique identifier used as a primary key which contains a value that identifies a specific row within the DIM_ECG_INTERPRET_CODES table. This value is also used in the FACT_ECG table to establish this relationship,(Key value),Yes,,,Q1 2020,,DIM_ECG_INTERPRET_CODES,,PRIMARY,Yes,Low,-,No change,
DIM_ECG_INTERPRET_CODES,ECG_CODE_LONG_NAME,VARCHAR 255,Interpretation Text Report Snippet,"ST abnormality, possibly digitalis effect",Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECG_INTERPRET_CODES,ECG_CODE_NAME,VARCHAR 100,MICS Marquette coded value,1020-MEIECG,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECG_INTERPRET_CODES,ECG_TEST_CATALOG_CODE,VARCHAR 50,Code to categorize tests,(No data),Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECG_INTERPRET_CODES,EXTRACT_DTM,TIMESTAMP 10,Date and time the table was extracted from the source in the data files,2021-07-26 21:36:51,Yes,,,Q2-Q4 2021,,,,,,,,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ECG_INTERPRET_CODES,EXTRACT_SOURCE,VARCHAR 30,Source of the table from where the data was extract,UDP:EDT4P:EDTWH,Yes,,,Q2-Q4 2021,,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ECG_INTERPRET_CODES,ROW_CURRENT_INDICATOR,CHARACTER 1,A Y/N flag indicating whether the row in an EDT table is the most current version of the information for the related business entity instance,Y,Ignore,,,Q1 2020,,,,,,,,,
DIM_ECG_INTERPRET_CODES,ROW_FROM_DTM,TIMESTAMP 10,Date and time the EDT record first became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ECG_INTERPRET_CODES,ROW_ITERATION_NUMBER,INTEGER 4,Reference to the ETL Iteration Table that provides information on row creation,(N/A),Ignore,,,Q1 2020,,,,,,,,,
DIM_ECG_INTERPRET_CODES,ROW_LOADED_DTM,TIMESTAMP 10,Date and time the ETL job loaded this record,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ECG_INTERPRET_CODES,ROW_SOURCE_ID,BIGINT 8,A unique identifier of the source system for this record,(Key value),Yes,,,Q1 2021,,,,,,Low,-,No change,
DIM_ECG_INTERPRET_CODES,ROW_TO_DTM,TIMESTAMP 10,Date and time EDT record last became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ECG_INTERPRET_CODES,SOURCE_SYSTEM_KEY,VARCHAR 50,Proprietary key values to original source application,(Key value),No,,,Q1 2020,,,,,,,,,
DIM_ECG_TEST_NAME,DEID_DTM,TIMESTAMP 10,Date and time the DEID software processed the first record in the file,2021-09-04 21:36:51,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ECG_TEST_NAME,DEID_VERSION,VARCHAR 30,DEID Software version which process this file,v1.8.3,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ECG_TEST_NAME,ECG_TEST_CATALOG_CODE,VARCHAR 50,Code to categorize tests,(No data),Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECG_TEST_NAME,ECG_TEST_CATALOG_NBR,VARCHAR 50,Number to categorize ECG tests,(No data),Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECG_TEST_NAME,ECG_TEST_DESCRIPTION,VARCHAR 255,Short description of test type,ECG - Pediatric,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECG_TEST_NAME,ECG_TEST_DK,BIGINT 8,Unique identifier used as a primary key which contains a value that identifies a specific row within the DIM_ECG_TEST_NAME table. This value is also used in the FACT_ECG table to establish this relationship,(Key value),Yes,,,Q1 2020,,DIM_ECG_TEST_NAME,,PRIMARY,Yes,Low,-,No change,
DIM_ECG_TEST_NAME,ECG_TEST_ORDER_MNEMONIC,VARCHAR 255,Tests can be ordered by an alphanumeric code,1-ROCHECG,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECG_TEST_NAME,ECG_TEST_SUBTYPE,VARCHAR 15,Secondary method of subsetting test types,ECG,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECG_TEST_NAME,ECG_TEST_TYPE,VARCHAR 50,Primary method of subsetting test types,DXSTIC,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECG_TEST_NAME,EXTRACT_DTM,TIMESTAMP 10,Date and time the table was extracted from the source in the data files,2021-07-26 21:36:51,Yes,,,Q2-Q4 2021,,,,,,,,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ECG_TEST_NAME,EXTRACT_SOURCE,VARCHAR 30,Source of the table from where the data was extract,UDP:EDT4P:EDTWH,Yes,,,Q2-Q4 2021,,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ECG_TEST_NAME,ROW_CURRENT_INDICATOR,CHARACTER 1,A Y/N flag indicating whether the row in an EDT table is the most current version of the information for the related business entity instance,Y,Ignore,,,Q1 2020,,,,,,,,,
DIM_ECG_TEST_NAME,ROW_FROM_DTM,TIMESTAMP 10,Date and time the EDT record first became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ECG_TEST_NAME,ROW_ITERATION_NUMBER,INTEGER 4,Reference to the ETL Iteration Table that provides information on row creation,(N/A),Ignore,,,Q1 2020,,,,,,,,,
DIM_ECG_TEST_NAME,ROW_LOADED_DTM,TIMESTAMP 10,Date and time the ETL job loaded this record,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ECG_TEST_NAME,ROW_SOURCE_ID,BIGINT 8,A unique identifier of the source system for this record,(Key value),Yes,,,Q1 2021,,,,,,Low,-,No change,
DIM_ECG_TEST_NAME,ROW_TO_DTM,TIMESTAMP 10,Date and time EDT record last became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ECG_TEST_NAME,SOURCE_SYSTEM_KEY,VARCHAR 50,Proprietary key values to original source application,(Key value),No,,,Q1 2020,,,,,,,,,
DIM_ECG_TEST_NAME,STANDARD_ECG_TEST_CATALOG_CODE,VARCHAR 50,Standard code to categorize tests,(No data),Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECG_TEST_NAME,STANDARD_ECG_TEST_CATALOG_NBR,VARCHAR 50,Standard number to categorize ECG tests,(No data),Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECG_TEST_NAME,STANDARD_ECG_TEST_CODE,VARCHAR 15,Data Governance accepted code value designating interpretation codes,(No data),Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECG_TEST_NAME,STANDARD_ECG_TEST_DK,BIGINT 8,Unique identifier used as a primary key which contains a value that identifies a specific row within the DIM_ECG_TEST_NAME table. This value is also used in the FACT_ECG table to establish this relationship,(Key value),Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECG_TEST_NAME,STANDARD_ECG_TEST_ORDER_MNEMON,VARCHAR 255,Data Governance accepted code value designating ECG test ordered,(No data),Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECG_TEST_NAME,STANDARD_ECG_TEST_TYPE,VARCHAR 50,Primary method of subsetting test types,(No data),Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECG_TEST_NAME,STANDARD_LAB_TEST_DESCRIPTION,VARCHAR 255,Standard description of Lab Test,Yellow Hornet IgE Ab [Units/volume] in Serum,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECG_WAVEFORM_CFSTATEMENTS,TESTTYPE,SMALLINT 2,,,Yes,,,Q1-Q4 2022,,,,,,,,,
DIM_ECG_WAVEFORM_CFSTATEMENTS,STATEMENTNUMBER,INTEGER 4,,,Yes,,,Q1-Q4 2022,,DIM_ECG_WAVEFORM_CFSTATEMENTS,,PRIMARY,Yes,,,,
DIM_ECG_WAVEFORM_CFSTATEMENTS,CREATIONDATETIME_UTC,TIMESTAMP 10,,,No,,RELATIVE_DATE,Q1-Q4 2022,,,,,,,,,
DIM_ECG_WAVEFORM_CFSTATEMENTS,MODIFICATIONDATETIME_UTC,TIMESTAMP 10,,,No,,RELATIVE_DATE,Q1-Q4 2022,,,,,,,,,
DIM_ECG_WAVEFORM_CFSTATEMENTS,ACRONYM,VARCHAR 11,,,Yes,,INCLUSIONLIST,Q1-Q4 2022,,,,,,,,,
DIM_ECG_WAVEFORM_CFSTATEMENTS,FULLTEXT,VARCHAR 127,,,Yes,,INCLUSIONLIST,Q1-Q4 2022,,,,,,,,,
DIM_ECG_WAVEFORM_CFSTATEMENTS,INJURYCLASS,INTEGER 4,,,Yes,,,Q1-Q4 2022,,,,,,,,,
DIM_ECG_WAVEFORM_CFSTATEMENTS,INJURYDEGREE,SMALLINT 2,,,Yes,,,Q1-Q4 2022,,,,,,,,,
DIM_ECG_WAVEFORM_CFSTATEMENTS,USERTEXT,VARCHAR 16,,,Yes,,,Q1-Q4 2022,,,,,,,,,
DIM_ECG_WAVEFORM_CFSTATEMENTS,HIDDEN,SMALLINT 2,,,Yes,,,Q1-Q4 2022,,,,,,,,,
DIM_ECG_WAVEFORM_CFSTATEMENTS,STATEMENTTYPE,SMALLINT 2,,,Yes,,,Q1-Q4 2022,,,,,,,,,
DIM_ECG_WAVEFORM_CFSTATEMENTS,SITE,VARCHAR 10,Site Code,1,Yes,,,Q1-Q4 2022,,,,,,,,,
DIM_ECG_WAVEFORM_CFSTATEMENTS,EXTRACT_DTM,TIMESTAMP 10,Date and time the table was extracted from the source in the data files,2021-07-26 21:36:51,Yes,,,Q1-Q4 2022,,,,,,,,,
DIM_ECG_WAVEFORM_CFSTATEMENTS,EXTRACT_SOURCE,VARCHAR 30,Source of the table from where the data was extract,UDP:EDT4P:EDTWH,Yes,,,Q1-Q4 2022,,,,,,,,,
DIM_ECG_WAVEFORM_CFSTATEMENTS,DEID_DTM,TIMESTAMP 10,Date and time the DEID software processed the first record in the file,2021-09-04 21:36:51,Yes,,,Q1-Q4 2022,SYNTHETIC,,,,,,,,
DIM_ECG_WAVEFORM_CFSTATEMENTS,DEID_VERSION,VARCHAR 30,DEID Software version which process this file,v1.8.3,Yes,,,Q1-Q4 2022,SYNTHETIC,,,,,,,,
DIM_ECHO_TEST,DEID_DTM,TIMESTAMP 10,Date and time the DEID software processed the first record in the file,2021-09-04 21:36:51,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ECHO_TEST,DEID_VERSION,VARCHAR 30,DEID Software version which process this file,v1.8.3,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ECHO_TEST,ECHO_TEST_CODE,VARCHAR 50,Code associated with the Echo test.,,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECHO_TEST,ECHO_TEST_DESCRIPTION,VARCHAR 255,"The description of the Echo test. Typically the same as the ECHO_TEST_NAME. (e.g., ECHOCARDIOGRAM 2D COMPLETE).",,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECHO_TEST,ECHO_TEST_DK,BIGINT 8,Generated value to join to FACT_ECHO_TEST.,,Yes,,,Q1 2020,,DIM_ECHO_TEST,,PRIMARY,Yes,Low,-,No change,
DIM_ECHO_TEST,ECHO_TEST_NAME,VARCHAR 255,"The name of the Echo test (e.g., Echocardiogram 2D complete).",,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECHO_TEST,ECHO_TEST_TYPE,VARCHAR 50,"Identifies the type of Echo test (e.g., CV ECHO PROCEDURES).",,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ECHO_TEST,EXTRACT_DTM,TIMESTAMP 10,Date and time the table was extracted from the source in the data files,2021-07-26 21:36:51,Yes,,,Q2-Q4 2021,,,,,,,,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ECHO_TEST,EXTRACT_SOURCE,VARCHAR 30,Source of the table from where the data was extract,UDP:EDT4P:EDTWH,Yes,,,Q2-Q4 2021,,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ECHO_TEST,ROW_CURRENT_INDICATOR,CHARACTER 1,A Y/N flag indicating whether the row in an EDT table is the most current version of the information for the related business entity instance,Y,Ignore,,,Q1 2020,,,,,,,,,
DIM_ECHO_TEST,ROW_FROM_DTM,TIMESTAMP 10,Date and time the EDT record first became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ECHO_TEST,ROW_ITERATION_NUMBER,INTEGER 4,Reference to the ETL Iteration Table that provides information on row creation,(N/A),Ignore,,,Q1 2020,,,,,,,,,
DIM_ECHO_TEST,ROW_LOADED_DTM,TIMESTAMP 10,Date and time the ETL job loaded this record,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ECHO_TEST,ROW_SOURCE_ID,BIGINT 8,A unique identifier of the source system for this record,(Key value),Yes,,,Q1 2021,,,,,,Low,-,No change,
DIM_ECHO_TEST,ROW_TO_DTM,TIMESTAMP 10,Date and time EDT record last became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ECHO_TEST,SOURCE_SYSTEM_KEY,VARCHAR 50,Proprietary key values to original source application,1742361,No,,,Q1 2020,,,,,,,,,
DIM_ECHO_TEST,STANDARD_ECHO_TEST_CODE,VARCHAR 50,NOT POPULATED,,Yes,,,Q1 2020,,,,,,Low,-,No change,
